active,latitude,longitude
Yes,48.153552,-80.014725
Yes,44.503928,-80.201516
Yes,44.74184,-79.912455
Yes,43.497418,-79.868476
Yes,43.450869,-79.763927
Yes,43.644985,-79.933321
Yes,43.920776,-80.072523
Yes,43.870017,-79.450278
Yes,43.884138,-79.231961
Yes,45.389239,-75.690478
Yes,45.030101,-74.717964
Yes,45.431716,-75.667688
Yes,45.039054,-78.528165
Yes,45.603834,-74.598607
Yes,45.312555,-75.086104
Yes,45.544511,-75.301242
Yes,45.38042,-75.654826
Yes,44.218676,-76.521757
Yes,43.836799,-79.017114
Yes,44.24154935,-76.96730797
Yes,44.999832,-74.654378
Yes,45.055092,-77.864208
Yes,44.907454,-76.027508
Yes,44.008797,-77.139402
Yes,45.310814,-75.825601
Yes,44.17531,-77.393179
Yes,44.102899,-77.569555
Yes,45.78177,-77.127702
Yes,46.09198,-77.476037
Yes,45.434099,-76.358417
Yes,45.541852,-77.105656
Yes,45.501648,-76.63828
Yes,45.488686,-77.668164
Yes,44.352402,-78.751362
Yes,44.31271,-77.790044
Yes,45.092745,-75.350378
Yes,44.336095,-78.315978
Yes,44.300025,-78.347609
Yes,43.976426,-78.202208
Yes,48.753128,-91.600594
Yes,49.688956,-83.66072
Yes,47.841198,-83.414963
Yes,46.473037,-81.006321
Yes,46.521729,-80.939584
Yes,46.451074,-80.99822
Yes,49.769556,-92.840763
Yes,46.38584,-82.649431
Yes,47.822706,-79.879251
Yes,46.248923,-81.780886
Yes,49.723382,-86.95697
Yes,49.212129,-84.774749
Yes,47.987685,-84.78018
Yes,49.768091,-94.499429
Yes,48.607046,-93.392275
Yes,45.979114,-81.926769
Yes,45.738205,-82.166694
Yes,46.311018,-78.713456
Yes,48.769108,-80.685429
Yes,49.065516,-81.021907
Yes,49.015611,-88.275905
Yes,46.334984,-79.49471
Yes,48.718573,-86.3754
Yes,46.187422,-82.924052
Yes,46.263058,-83.562473
Yes,48.607083,-93.39302
Yes,51.013295,-93.822435
Yes,49.127701,-85.824681
Yes,46.547984,-84.321432
Yes,49.419325,-82.429848
Yes,50.106023,-91.92795
Yes,49.272619,-81.610334
Yes,48.365919,-89.28123
Yes,47.495213,-79.693163
Yes,48.424784,-89.269319
Yes,48.486008,-81.315668
Yes,51.25027,-80.616541
Yes,52.206719,-81.684853
Yes,52.922613,-82.425772
Yes,51.271219,-80.65086
Yes,0,0
Yes,0,0
Yes,46.367086,-79.917254
Yes,45.35937,-80.042996
Yes,48.780226,-87.106507
Yes,43.754813,-79.525921
Yes,43.68991,-79.324858
Yes,43.695869,-79.292138
Yes,43.657575,-79.390096
Yes,43.772477,-79.448125
No,43.801819,-79.309055
No,43.780444,-79.20456
Yes,43.724868,-79.373697
Yes,43.652594,-79.405856
Yes,43.640709,-79.450139
Yes,43.654829,-79.378003
Yes,43.661634,-79.387628
Yes,42.968947,-82.408908
Yes,43.135386,-80.263542
Yes,43.41699,-80.320331
Yes,42.39433,-82.222332
Yes,42.048807,-82.614178
Yes,43.449228,-80.491156
Yes,44.571059,-80.915745
Yes,43.500949,-80.219051
Yes,43.26044,-79.897864
Yes,44.141506,-81.029323
Yes,43.317101,-79.802344
Yes,43.7336,-80.948919
Yes,42.975279,-81.305895
Yes,43.705713,-80.373354
Yes,43.094126,-79.089606
Yes,43.153843,-79.278522
Yes,42.948664,-82.119038
Yes,43.069122,-80.122986
Yes,44.189085,-81.625465
Yes,43.343664,-81.480958
Yes,43.2218,-79.774373
Yes,42.998736,-81.228895
Yes,43.46128,-80.537704
Yes,43.507454,-80.538638
Yes,42.763425,-81.180145
Yes,42.863656,-80.733757
Yes,42.959342,-80.041081
Yes,42.309167,-83.031869
Yes,43.106722,-80.753799
Yes,43.385942,-80.984148
Yes,45.55808,-77.415574
Yes,44.41129,-79.68511
Yes,44.086166,-78.953206
Yes,43.736945,-81.711951
Yes,43.912289,-78.703852
